"ISO_Alpha_3","Names1","Names2","Names1_percent","Names2_percent"
"ABW",5,2,7.7300063386052e-05,1.42669634195058e-05
"AFG",37,21,0.000572020469056785,0.000149803115904811
"AGO",42,20,0.000649320532442837,0.000142669634195058
"AIA",65,13,0.00100490082401868,9.27352622267876e-05
"ALA",NA,NA,NA,NA
"ALB",39,25,0.000602940494411205,0.000178337042743822
"AND",8,18,0.000123680101417683,0.000128402670775552
"ARE",23,9,0.000355580291575839,6.42013353877761e-05
"ARG",604,1041,0.00933784765703508,0.00742595445985276
"ARM",21,17,0.000324660266221418,0.000121269189065799
"ASM",19,4,0.000293740240866998,2.85339268390116e-05
"ATA",251,29,0.00388046318197981,0.000206870969582834
"ATF",NA,NA,NA,NA
"ATG",NA,NA,NA,NA
"AUS",3468,6875,0.0536153239645656,0.0490426867545512
"AUT",289,1265,0.0044679436637138,0.00902385436283741
"AZE",13,11,0.000200980164803735,7.84682988072819e-05
"BDI",15,11,0.000231900190158156,7.84682988072819e-05
"BEL",275,1764,0.00425150348623286,0.0125834617360041
"BEN",131,155,0.00202526166071456,0.0011056896650117
"BES",NA,NA,NA,NA
"BFA",128,102,0.00197888162268293,0.000727615134394795
"BGD",349,308,0.00539554442434643,0.00219711236660389
"BGR",85,147,0.00131410107756288,0.00104862181133368
"BHR",9,9,0.000139140114094894,6.42013353877761e-05
"BHS",45,29,0.000695700570474468,0.000206870969582834
"BIH",18,7,0.000278280228189787,4.99343719682703e-05
"BLM",NA,NA,NA,NA
"BLR",15,17,0.000231900190158156,0.000121269189065799
"BLZ",84,37,0.00129864106488567,0.000263938823260857
"BMU",26,11,0.00040196032960747,7.84682988072819e-05
"BOL",217,170,0.00335482275095466,0.00121269189065799
"BRA",3017,3935,0.0466428582471438,0.0280702505278776
"BRB",26,22,0.00040196032960747,0.000156936597614564
"BRN",8,43,0.000123680101417683,0.000306739713519375
"BTN",53,50,0.000819380671892151,0.000356674085487645
"BVT",4,NA,6.18400507088416e-05,NA
"BWA",81,89,0.00125226102685404,0.000634879872168008
"CAF",22,6,0.000340120278898629,4.28008902585174e-05
"CAN",1684,5815,0.0260346613484223,0.0414811961422131
"CCK",4,NA,6.18400507088416e-05,NA
"CHE",446,2861,0.00689516565403584,0.020408891171603
"CHL",568,808,0.0087812872006555,0.00576385322148034
"CHN",4308,6510,0.0666017346134224,0.0464389659304914
"CIV",NA,NA,NA,NA
"CMR",282,239,0.00435972357497333,0.00170490212863094
"COD",NA,NA,NA,NA
"COG",215,120,0.00332390272560023,0.000856017805170348
"COK",11,4,0.000170060139449314,2.85339268390116e-05
"COL",358,586,0.00553468453844132,0.0041802202819152
"COM",10,8,0.000154600126772104,5.70678536780232e-05
"CPV",27,14,0.000417420342284681,9.98687439365405e-05
"CRI",599,334,0.00926054759364903,0.00238258289105747
"CUB",476,111,0.00735896603435215,0.000791816469782571
"CUW",NA,NA,NA,NA
"CXR",14,4,0.000216440177480946,2.85339268390116e-05
"CYM",5,6,7.7300063386052e-05,4.28008902585174e-05
"CYP",46,68,0.000711160583151678,0.000485076756263197
"CZE",260,1169,0.0040196032960747,0.00833904011870114
"DEU",1172,7277,0.0181191348576906,0.0519103464018718
"DJI",4,1,6.18400507088416e-05,7.1334817097529e-06
"DMA",32,21,0.000494720405670733,0.000149803115904811
"DNK",247,1696,0.00381862313127097,0.0120983849797409
"DOM",16,3,0.000247360202835366,2.14004451292587e-05
"DZA",73,71,0.00112858092543636,0.000506477201392456
"ECU",394,399,0.0060912449948209,0.00284625920219141
"EGY",193,171,0.00298378244670161,0.00121982537236775
"ERI",12,7,0.000185520152126525,4.99343719682703e-05
"ESH",3,NA,4.63800380316312e-05,NA
"ESP",1549,4421,0.0239475596369989,0.0315371226388176
"EST",180,442,0.00278280228189787,0.00315299891571078
"ETH",499,433,0.00771454632592799,0.003088797580323
"FIN",697,1983,0.0107756288360156,0.01414569423044
"FJI",87,91,0.0013450211029173,0.000649146835587514
"FLK",NA,NA,NA,NA
"FRA",879,5328,0.0135893511432679,0.0380071905495634
"FRO",9,8,0.000139140114094894,5.70678536780232e-05
"FSM",NA,NA,NA,NA
"GAB",75,53,0.00115950095079078,0.000378074530616903
"GBR",2119,10323,0.0327597668630088,0.0736389316897791
"GEO",210,777,0.00324660266221418,0.005542715288478
"GGY",2,1,3.09200253544208e-05,7.1334817097529e-06
"GHA",303,288,0.00468438384119475,0.00205444273240883
"GIB",37,4,0.000572020469056785,2.85339268390116e-05
"GIN",353,119,0.00545738447505527,0.000848884323460595
"GLP",15,30,0.000231900190158156,0.000214004451292587
"GMB",50,12,0.00077300063386052,8.56017805170347e-05
"GNB",NA,NA,NA,NA
"GNQ",26,9,0.00040196032960747,6.42013353877761e-05
"GRC",419,828,0.00647774531175116,0.0059065228556754
"GRD",7,9,0.000108220088740473,6.42013353877761e-05
"GRL",97,59,0.00149962122968941,0.000420875420875421
"GTM",62,34,0.000958520785987044,0.000242538378131598
"GUF",115,68,0.0017779014578792,0.000485076756263197
"GUM",26,43,0.00040196032960747,0.000306739713519375
"GUY",48,29,0.000742080608506099,0.000206870969582834
"HKG",186,433,0.00287556235796113,0.003088797580323
"HMD",NA,NA,NA,NA
"HND",49,25,0.000757540621183309,0.000178337042743822
"HRV",102,197,0.00157692129307546,0.00140529589682132
"HTI",16,8,0.000247360202835366,5.70678536780232e-05
"HUN",221,553,0.0034166628016635,0.00394481538549335
"IDN",675,686,0.010435508557117,0.00489356845289049
"IMN",10,3,0.000154600126772104,2.14004451292587e-05
"IND",2421,2639,0.0374286906915264,0.0188252582320379
"IOT",1,2,1.54600126772104e-05,1.42669634195058e-05
"IRL",471,780,0.0072816659709661,0.00556411573360726
"IRN",458,1146,0.00708068580616236,0.00817497003937682
"IRQ",39,21,0.000602940494411205,0.000149803115904811
"ISL",67,115,0.0010358208493731,0.000820350396621583
"ISR",292,728,0.00451432370174544,0.00519317468470011
"ITA",1099,3496,0.0169905539322542,0.0249386520572961
"JAM",50,40,0.00077300063386052,0.000285339268390116
"JEY",131,98,0.00202526166071456,0.000699081207555784
"JOR",83,439,0.00128318105220846,0.00313159847058152
"JPN",1012,2095,0.0156455328293369,0.0149446441819323
"KAZ",29,27,0.000448340367639101,0.000192604006163328
"KEN",701,841,0.0108374688867245,0.00599925811790219
"KGZ",18,20,0.000278280228189787,0.000142669634195058
"KHM",120,104,0.00185520152126525,0.000741882097814301
"KIR",9,4,0.000139140114094894,2.85339268390116e-05
"KNA",NA,NA,NA,NA
"KOR",163,626,0.00251998206638529,0.00446555955030531
"KWT",26,30,0.00040196032960747,0.000214004451292587
"LAO",12,2,0.000185520152126525,1.42669634195058e-05
"LBN",46,65,0.000711160583151678,0.000463676311133938
"LBR",23,11,0.000355580291575839,7.84682988072819e-05
"LBY",NA,NA,NA,NA
"LCA",3,1,4.63800380316312e-05,7.1334817097529e-06
"LIE",1,17,1.54600126772104e-05,0.000121269189065799
"LKA",161,156,0.00248906204103087,0.00111282314672145
"LSO",20,8,0.000309200253544208,5.70678536780232e-05
"LTU",72,154,0.00111312091275915,0.00109855618330195
"LUX",19,79,0.000293740240866998,0.000563545055070479
"LVA",41,72,0.000633860519765626,0.000513610683102209
"MAC",7,42,0.000108220088740473,0.000299606231809622
"MAF",NA,NA,NA,NA
"MAR",111,116,0.00171606140717035,0.000827483878331336
"MCO",1,50,1.54600126772104e-05,0.000356674085487645
"MDA",NA,NA,NA,NA
"MDG",362,204,0.00559652458915016,0.00145523026878959
"MDV",19,7,0.000293740240866998,4.99343719682703e-05
"MEX",1774,2158,0.0274260624893712,0.0153940535296467
"MHL",6,NA,9.27600760632624e-05,NA
"MKD",NA,NA,NA,NA
"MLI",1782,435,0.0275497425907889,0.00310306454374251
"MLT",22,39,0.000340120278898629,0.000278205786680363
"MMR",80,61,0.00123680101417683,0.000435142384294927
"MNE",21,39,0.000324660266221418,0.000278205786680363
"MNG",348,202,0.00538008441166922,0.00144096330537009
"MNP",2,2,3.09200253544208e-05,1.42669634195058e-05
"MOZ",115,65,0.0017779014578792,0.000463676311133938
"MRT",20,13,0.000309200253544208,9.27352622267876e-05
"MSR",3,77,4.63800380316312e-05,0.000549278091650973
"MTQ",14,22,0.000216440177480946,0.000156936597614564
"MUS",35,40,0.000541100443702364,0.000285339268390116
"MWI",146,103,0.00225716185087272,0.000734748616104548
"MYS",478,657,0.00738988605970657,0.00468669748330765
"MYT",12,12,0.000185520152126525,8.56017805170347e-05
"NAM",103,93,0.00159238130575267,0.000663413799007019
"NCL",109,127,0.00168514138181593,0.000905952177138618
"NER",386,318,0.00596756489340321,0.00226844718370142
"NFK",1,NA,1.54600126772104e-05,NA
"NGA",260,267,0.0040196032960747,0.00190463961650402
"NIC",88,50,0.00136048111559451,0.000356674085487645
"NIU",5,1,7.7300063386052e-05,7.1334817097529e-06
"NLD",519,3483,0.0080237465794722,0.0248459167950693
"NOR",834,1540,0.0128936505727935,0.0109855618330195
"NPL",470,318,0.00726620595828889,0.00226844718370142
"NRU",3,1,4.63800380316312e-05,7.1334817097529e-06
"NZL",990,1513,0.0153054125504383,0.0107929578268561
"OMN",690,986,0.0106674087472752,0.00703361296581636
"PAK",317,412,0.0049008240186757,0.00293899446441819
"PAN",285,404,0.00440610361300496,0.00288192661074017
"PCN",14,5,0.000216440177480946,3.56674085487645e-05
"PER",591,453,0.00913686749223134,0.00323146721451806
"PHL",400,397,0.00618400507088416,0.0028319922387719
"PLW",19,20,0.000293740240866998,0.000142669634195058
"PNG",122,43,0.00188612154661967,0.000306739713519375
"POL",610,1373,0.00943060773309834,0.00979427038749073
"PRI",176,164,0.00272096223118903,0.00116989100039947
"PRK",11,1,0.000170060139449314,7.1334817097529e-06
"PRT",488,1497,0.00754448618647867,0.0106788221195001
"PRY",78,26,0.00120588098882241,0.000185470524453575
"PSE",NA,NA,NA,NA
"PYF",60,16,0.000927600760632624,0.000114135707356046
"QAT",18,34,0.000278280228189787,0.000242538378131598
"REU",NA,NA,NA,NA
"ROU",209,335,0.00323114264953697,0.00238971637276722
"RUS",280,707,0.00432880354961891,0.0050433715687953
"RWA",55,38,0.000850300697246572,0.00027107230497061
"SAU",60,183,0.000927600760632624,0.00130542715288478
"SDN",123,61,0.00190158155929688,0.000435142384294927
"SEN",136,78,0.00210256172410061,0.000556411573360726
"SGP",127,423,0.00196342161000572,0.00301746276322548
"SGS",NA,2,NA,1.42669634195058e-05
"SHN",NA,NA,NA,NA
"SJM",1,NA,1.54600126772104e-05,NA
"SLB",45,34,0.000695700570474468,0.000242538378131598
"SLE",30,18,0.000463800380316312,0.000128402670775552
"SLV",20,12,0.000309200253544208,8.56017805170347e-05
"SMR",NA,5,NA,3.56674085487645e-05
"SOM",13,2,0.000200980164803735,1.42669634195058e-05
"SPM",NA,NA,NA,NA
"SRB",86,175,0.00132956109024009,0.00124835929920676
"SSD",NA,NA,NA,NA
"STP",8,5,0.000123680101417683,3.56674085487645e-05
"SUR",35,16,0.000541100443702364,0.000114135707356046
"SVK",134,277,0.00207164169874619,0.00197597443360155
"SVN",105,248,0.00162330133110709,0.00176910346401872
"SWE",933,2901,0.0144241918278373,0.0206942304399932
"SWZ",40,36,0.000618400507088416,0.000256805341551104
"SXM",NA,NA,NA,NA
"SYC",49,31,0.000757540621183309,0.00022113793300234
"SYR",NA,NA,NA,NA
"TCA",6,NA,9.27600760632624e-05,NA
"TCD",38,397,0.000587480481733995,0.0028319922387719
"TGO",47,28,0.000726620595828889,0.000199737487873081
"THA",391,472,0.00604486495678926,0.00336700336700337
"TJK",15,6,0.000231900190158156,4.28008902585174e-05
"TKL",NA,NA,NA,NA
"TKM",3,1,4.63800380316312e-05,7.1334817097529e-06
"TLS",NA,NA,NA,NA
"TON",42,40,0.000649320532442837,0.000285339268390116
"TTO",9,4,0.000139140114094894,2.85339268390116e-05
"TUN",100,131,0.00154600126772104,0.000934486103977629
"TUR",514,694,0.00794644651608614,0.00495063630656851
"TUV",1,1,1.54600126772104e-05,7.1334817097529e-06
"TWN",NA,NA,NA,NA
"TZA",352,575,0.00544192446237806,0.00410175198310792
"UGA",328,271,0.00507088415812501,0.00193317354334303
"UKR",62,110,0.000958520785987044,0.000784682988072819
"UMI",NA,NA,NA,NA
"URY",102,143,0.00157692129307546,0.00102008788449466
"USA",7089,25079,0.109596029868744,0.178900587798893
"UZB",9,10,0.000139140114094894,7.1334817097529e-05
"VAT",NA,NA,NA,NA
"VCT",1,NA,1.54600126772104e-05,NA
"VEN",108,132,0.00166968136913872,0.000941619585687382
"VGB",NA,NA,NA,NA
"VIR",NA,NA,NA,NA
"VNM",390,357,0.00602940494411205,0.00254665297038178
"VUT",20,11,0.000309200253544208,7.84682988072819e-05
"WLF",1,NA,1.54600126772104e-05,NA
"WSM",35,25,0.000541100443702364,0.000178337042743822
"XAD",NA,NA,NA,NA
"XCA",NA,NA,NA,NA
"XCL",NA,NA,NA,NA
"XKO",NA,NA,NA,NA
"XNC",NA,NA,NA,NA
"XPI",NA,NA,NA,NA
"XSP",NA,NA,NA,NA
"YEM",23,21,0.000355580291575839,0.000149803115904811
"ZAF",1579,2278,0.0244113600173152,0.0162500713348171
"ZMB",85,78,0.00131410107756288,0.000556411573360726
"ZWE",177,169,0.00273642224386624,0.00120555840894824
